Requirement ID,Category,Requirement Title,Description,Compliance Deadline,Applicability
1-1-1,Cybersecurity Governance - Cybersecurity Strategy,Cybersecurity Strategy Documentation,The cybersecurity strategy of the entity shall be identified documented and approved and it shall be supported by the head of the entity or his/her delegate. The strategy goals shall be in line with the relevant legislative and regulatory requirements.,,All entities
1-1-2,Cybersecurity Governance - Cybersecurity Strategy,Strategy Execution Plan,The entity shall execute an action plan to apply the cybersecurity strategy.,,All entities
1-1-3,Cybersecurity Governance - Cybersecurity Strategy,Strategy Review,The cybersecurity strategy shall be reviewed at planned intervals or in case of changes to the relevant legislative and regulatory requirements.,,All entities
1-2-1,Cybersecurity Governance - Cybersecurity Management,Cybersecurity Department Establishment,A department for cybersecurity shall be established within the entity. This department shall be independent from the Information Technology and Communications Department. It is recommended that the Cybersecurity Department reports directly to the head of the entity or his/her delegate while ensuring that this does not result in a conflict of interests.,,All entities
1-2-2,Cybersecurity Governance - Cybersecurity Management,Cybersecurity Staffing,All cybersecurity positions shall be filled out with full-time and qualified Saudi cybersecurity professionals.,,All entities
1-2-3,Cybersecurity Governance - Cybersecurity Management,Cybersecurity Supervisory Committee,A cybersecurity supervisory committee shall be established pursuant to the instruction of the entity's Authorized Official to ensure compliance with support for and monitoring of the implementation of the cybersecurity programs and regulations. The committee's members responsibilities and governance framework shall be identified documented and approved.,,All entities
1-3-1,Cybersecurity Governance - Cybersecurity Policies and Procedures,Policy Documentation,The cybersecurity department of the entity shall identify and document cybersecurity policies and procedures including the cybersecurity controls and requirements and have them approved by the entity's Authorized Official and communicate them to the relevant personnel and parties inside the entity.,,All entities
1-3-2,Cybersecurity Governance - Cybersecurity Policies and Procedures,Policy Implementation,The cybersecurity department shall ensure that the cybersecurity policies and procedures including the relevant controls and requirements are implemented at the entity.,,All entities
1-3-3,Cybersecurity Governance - Cybersecurity Policies and Procedures,Technical Security Standards,The cybersecurity policies and procedures shall be supported by technical security standards (e.g. technical security standards for firewall databases operating systems etc.).,,All entities
1-3-4,Cybersecurity Governance - Cybersecurity Policies and Procedures,Policy Review and Update,The cybersecurity policies and procedures shall be reviewed and updated at planned intervals or in case of changes to the relevant legislative and regulatory requirements and standards. Changes shall be documented and approved.,,All entities
1-4-1,Cybersecurity Governance - Cybersecurity Roles and Responsibilities,Roles and Responsibilities Documentation,The Authorized Official shall identify document and approve the governance organizational structure roles and responsibilities of the entity's cybersecurity and assign the persons concerned therewith. The necessary support shall be provided for the implementation thereof while ensuring that this does not result in a conflict of interests.,,All entities
1-4-2,Cybersecurity Governance - Cybersecurity Roles and Responsibilities,Roles Review,The cybersecurity roles and responsibilities within the entity shall be reviewed and updated at planned intervals or in case of changes to the relevant legislative and regulatory requirements.,,All entities
1-5-1,Cybersecurity Governance - Cybersecurity Risk Management,Risk Management Methodology,The cybersecurity department of the entity shall identify document and approve the cybersecurity risk management methodology and procedures within the entity in accordance with considerations of confidentiality and the integrity and availability of information and technology assets.,,All entities
1-5-2,Cybersecurity Governance - Cybersecurity Risk Management,Risk Management Implementation,The cybersecurity department shall implement the cybersecurity risk management methodology and procedures within the entity.,,All entities
1-5-3,Cybersecurity Governance - Cybersecurity Risk Management,Risk Assessment Procedures,The cybersecurity risk assessment procedures shall be implemented at least in the following cases.,,All entities
1-5-3-1,Cybersecurity Governance - Cybersecurity Risk Management,Risk Assessment - Early Stage Projects,At early stage of technology projects.,,All entities
1-5-3-2,Cybersecurity Governance - Cybersecurity Risk Management,Risk Assessment - Infrastructure Changes,Before making major changes to technology infrastructure.,,All entities
1-5-3-3,Cybersecurity Governance - Cybersecurity Risk Management,Risk Assessment - Third Party Services,During planning to obtain third party services.,,All entities
1-5-3-4,Cybersecurity Governance - Cybersecurity Risk Management,Risk Assessment - New Services,During planning and before the release of new technology services and products.,,All entities
1-5-4,Cybersecurity Governance - Cybersecurity Risk Management,Risk Management Review,The cybersecurity risk management methodology and procedures shall be reviewed and updated at planned intervals or in case of changes to the relevant legislative and regulatory requirements and standards. Changes shall be documented and approved.,,All entities
