Asset Description,Unique Identifier,Asset Type,Manufacturer,Model,Serial Number,Location,Building,Floor,Room,IP Addresses,MAC Addresses,Connectivity Status,Business Unit,Department,Criticality Level,Data Classification,Contains PII,Contains PHI,Contains Financial Data,Purchase Date,Warranty Expiry Date,Vendor,Notes
Production Web Server 01,PHY-SRV-001,server,Dell,PowerEdge R740,SN-DELL-001,Data Center A,Building 1,2,Server Room 201,"192.168.1.10, 192.168.1.11","00:1B:44:11:3A:B7, 00:1B:44:11:3A:B8",connected,IT Operations,Infrastructure,critical,Internal,false,false,false,2023-01-15,2026-01-15,Dell Technologies,Primary web server for customer portal
Development Workstation 01,PHY-WS-001,workstation,HP,EliteDesk 800 G6,SN-HP-DEV-001,Office Building B,Building 2,3,Office 301,192.168.2.50,00:50:56:12:34:56,connected,Engineering,Development,medium,Internal,true,false,false,2023-06-01,2025-06-01,HP Inc,Development environment workstation
Network Switch Core 01,PHY-NET-001,network_device,Cisco,Catalyst 9300,SN-CISCO-001,Data Center A,Building 1,2,Network Closet 205,192.168.1.1,00:1E:13:7F:8A:01,connected,IT Operations,Infrastructure,critical,Internal,false,false,false,2022-11-20,2025-11-20,Cisco Systems,Core network switch for data center
Mobile Device - Sales Team 01,PHY-MOB-001,mobile_device,Apple,iPhone 14 Pro,SN-APPLE-001,Field Office,Remote,N/A,N/A,10.0.0.15,02:00:00:00:00:01,connected,Sales,Field Sales,high,Confidential,true,false,true,2023-09-01,2025-09-01,Apple Inc,Company issued mobile device
IoT Sensor - Temperature 01,PHY-IOT-001,iot_device,Arduino,Arduino Uno,SN-ARDUINO-001,Warehouse,Building 3,1,Warehouse Floor,192.168.3.100,00:1A:2B:3C:4D:5E,connected,Operations,Logistics,low,Public,false,false,false,2023-03-15,2025-03-15,Arduino,Environmental monitoring sensor
Printer - Marketing Dept,PHY-PRT-001,printer,Canon,imageRUNNER ADVANCE C5535i,SN-CANON-001,Office Building B,Building 2,2,Marketing Office,192.168.2.100,00:21:5E:12:34:56,connected,Marketing,Marketing,low,Internal,false,false,false,2022-08-10,2025-08-10,Canon USA,Multifunction printer for marketing materials
Storage Array - Backup 01,PHY-STR-001,storage_device,NetApp,FAS8300,SN-NETAPP-001,Data Center A,Building 1,2,Server Room 201,192.168.1.20,00:50:56:AB:CD:EF,connected,IT Operations,Infrastructure,critical,Internal,false,false,false,2022-05-01,2027-05-01,NetApp,Primary backup storage array
Workstation - Finance 01,PHY-WS-002,workstation,Lenovo,ThinkCentre M90q,SN-LENOVO-001,Office Building B,Building 2,4,Finance Office,192.168.2.75,00:1C:42:12:34:56,connected,Finance,Accounting,high,Confidential,false,false,true,2023-02-01,2026-02-01,Lenovo,Finance department workstation
Network Firewall 01,PHY-NET-002,network_device,Fortinet,FortiGate 600E,SN-FORTINET-001,Data Center A,Building 1,2,Network Closet 205,192.168.1.2,00:09:0F:12:34:56,connected,IT Operations,Security,critical,Internal,false,false,false,2022-12-01,2025-12-01,Fortinet,Primary network firewall
Server - Database 01,PHY-SRV-002,server,IBM,Power System S922,SN-IBM-001,Data Center A,Building 1,2,Server Room 201,192.168.1.15,00:1A:2B:3C:4D:5F,connected,IT Operations,Database,critical,Confidential,false,false,true,2023-04-01,2026-04-01,IBM,Primary database server

